place,url,state
Manhattan,gmanhattan,new york
Oneonta,goneonta,new york
Plattsburgh,gplattsburgh,new york
Potsdam,gpotsdam,new york
Queens,gqueens,new york
Rochester,grochester,new york
Staten Island,gstatenisland,new york
Syracuse,gsyracuse,new york
Twin Tiers,gtwintiers,new york
Utica,gutica,new york
Watertown,gwatertown,new york
Westchester,gwestchester,new york
Asheville,gasheville,north carolina
Boone,gboone,north carolina
Charlotte,gcharlotte,north carolina
Eastern,geasternnc,north carolina
Fayetteville,gfayettevillenc,north carolina
Greensboro,ggreensboro,north carolina
Hickory,ghickory,north carolina
Outer Banks,gouterbanks,north carolina
Raleigh,graleigh,north carolina
Wilmington,gwilmington,north carolina
Winston Salem,gwinstonsalem,north carolina
Bismarck,gbismarck,north dakota
Fargo,gfargo,north dakota
Grand Forks,ggrandforks,north dakota
Minot,gminot,north dakota
Akron/Canton,gakroncanton,ohio
Ashtabula,gashtabula,ohio
Athens,gathensoh,ohio
Chillicothe,gchillicothe,ohio
Cincinnati,gcincinnati,ohio
Cleveland,gcleveland,ohio
Columbus,gcolumbus,ohio
Dayton,gdayton,ohio
Huntington/Ashland,ghuntingtonoh,ohio
Lima/Findlay,glimaoh,ohio
Mansfield,gmansfield,ohio
Sandusky,gsandusky,ohio
Toledo,gtoledo,ohio
Tuscarawas County,gtuscarawas,ohio
Youngstown,gyoungstown,ohio
Zanesville/Cambridge,gzanesville,ohio
Lawton,glawton,oklahoma
Oklahoma City,goklahomacity,oklahoma
Stillwater,gstillwater,oklahoma
Tulsa,gtulsa,oklahoma
Bend,gbend,oregon
Corvallis,gcorvallis,oregon
East Oregon,geastoregon,oregon
Eugene,geugene,oregon
Klamath Falls,gklamath,oregon
Medford,gmedford,oregon
Oregon Coast,goregoncoast,oregon
Portland,gportland,oregon
Roseburg,groseburg,oregon
Salem,gsalem,oregon
Allentown,gallentown,pennsylvania
Altoona,galtoona,pennsylvania
Cumberland Valley,gchambersburg,pennsylvania
Erie,gerie,pennsylvania
Harrisburg,gharrisburg,pennsylvania
Lancaster,glancaster,pennsylvania
Meadville,gmeadville,pennsylvania
Philadelphia,gphiladelphia,pennsylvania
Pittsburgh,gpittsburgh,pennsylvania
Poconos,gpoconos,pennsylvania
Reading,greading,pennsylvania
Scranton,gscranton,pennsylvania
State College,gpennstate,pennsylvania
Williamsport,gwilliamsport,pennsylvania
York,gyork,pennsylvania
Charleston,gcharleston,south carolina
Columbia,gcolumbia,south carolina
Florence,gflorence,south carolina
Greenville,ggreenville,south carolina
Hilton Head,ghiltonhead,south carolina
Myrtle Beach,gmyrtlebeach,south carolina
Aberdeen,gaberdeen-sd,south dakota
Pierre,gpierre,south dakota
Rapid City,grapidcity,south dakota
Sioux Falls,gsiouxfalls,south dakota
Chattanooga,gchattanooga,tennessee
Clarksville,gclarksville,tennessee
Cookeville,gcookeville,tennessee
Knoxville,gknoxville,tennessee
Memphis,gmemphis,tennessee
Nashville,gnashville,tennessee
Tri-cities,gtricities,tennessee
Abilene,gabilene,texas
Amarillo,gamarillo,texas
Austin,gaustin,texas
Beaumont,gbeaumont,texas
Brownsville,gbrownsville,texas
College Station,gcollegestation,texas
Corpus Christi,gcorpuschristi,texas
Dallas,gdallas,texas
Del Rio,gdelrio,texas
Denton,gdenton,texas
El Paso,gelpaso,texas
Fort Worth,gfortworth,texas
Galveston,ggalveston,texas
Houston,ghouston,texas
Huntsville,ghuntsvilletx,texas
Killeen,gkilleen,texas
Laredo,glaredo,texas
Lubbock,glubbock,texas
Mcallen,gmcallen,texas
mid cities,garlington,texas
Odessa,godessa,texas
San Antonio,gsanantonio,texas
San Marcos,gsanmarcos,texas
Texarkana,gtexarkana,texas
Texoma,gtexoma,texas
Tyler,gtyler,texas
Victoria,gvictoriatx,texas
Waco,gwaco,texas
Wichita Falls,gwichitafalls,texas
Logan,glogan,utah
Ogden,gogden,utah
Provo,gprovo,utah
Salt Lake City,gsaltlakecity,utah
St. George,gstgeorge,utah
Charlottesville,gcharlottesville,virginia
Chesapeake,gchesapeake,virginia
Danville,gdanville,virginia
Fredericksburg,gfredericksburg,virginia
Hampton,ghampton,virginia
Harrisonburg,gharrisonburg,virginia
Lynchburg,glynchburg,virginia
New River Valley,gblacksburg,virginia
Newport News,gnewportnews,virginia
Norfolk,gnorfolk,virginia
Portsmouth,gportsmouth,virginia
Richmond,grichmond,virginia
Roanoke,groanoke,virginia
Southwest Virginia,gswva,virginia
Suffolk,gsuffolk,virginia
Virginia Beach,gvirginiabeach,virginia
Bellingham,gbellingham,washington
Everett,geverett,washington
Moses Lake,gmoseslake,washington
Mt. Vernon,gmtvernon,washington
Olympia,golympia,washington
Pullman,gpullman,washington
Seattle,gseattle,washington
Spokane / Coeur d'Alene,gspokane,washington
Tacoma,gtacoma,washington
Tri-cities,gtricitieswa,washington
Wenatchee,gwenatchee,washington
Yakima,gyakima,washington
Charleston,gcharlestonwv,west virginia
Huntington,ghuntington,west virginia
Martinsburg,gmartinsburg,west virginia
Morgantown,gmorgantown,west virginia
Parkersburg,gparkersburg,west virginia
Southern West Virginia,gsouthernwestvirginia,west virginia
Wheeling,gwheeling,west virginia
Appleton,gappleton,wisconsin
Eau Claire,geauclaire,wisconsin
Green Bay,ggreenbay,wisconsin
Janesville,gjanesville,wisconsin
La Crosse,glacrosse,wisconsin
Madison,gmadison,wisconsin
Milwaukee,gmilwaukee,wisconsin
Racine,gracine,wisconsin
Sheboygan,gsheboygan,wisconsin
Wausau,gwausau,wisconsin
Wyoming,wyoming,wyoming
New Hampshire, newhampshire, new hampshire
Vermont, burlington, vermont
Delaware, delaware, delaware
Rhode Island, providence, rhode island
