MSA,Obs.,Ads/100k Pop.,Mean,Std.,10%,50%,90%
"Louisville-Jefferson County, KY-IN MSA",11715.0,19.7128614122,166.275029083,109.184820873,80.0,140.0,250.4
"Denver-Aurora-Lakewood, CO MSA",38107.0,9.58589647757,166.768812648,92.3934809328,80.2,150.0,250.0
"Harrisburg-Carlisle, PA MSA",7010.0,44.2222159194,168.020098275,88.9625763075,103.333333333,150.0,250.0
"San Diego-Carlsbad, CA MSA",17910.0,8.21179970525,168.05357767,108.254449929,61.005940392,150.0,283.333333333
"San Francisco-Oakland-Hayward, CA MSA",51831.0,5.47667776878,169.536858512,97.3081943246,90.0,152.5,250.0
"Eugene, OR MSA",5297.0,71.6522750414,170.569673782,86.1157146849,90.0,155.964309971,250.0
"Eau Claire, WI MSA",1314.0,170.378945254,178.592914205,94.2951497355,95.0,150.0,250.0
"Boston-Cambridge-Newton, MA-NH MSA",18505.0,5.73006404102,180.455302426,143.090770827,62.3857239882,155.964309971,300.0
"Springfield, MO MSA",3164.0,65.1467863877,186.972579869,133.523273972,100.0,155.964309971,250.0
"Burlington-South Burlington, VT MSA",696.0,134.933600515,189.054118345,126.831644117,31.1928619941,175.0,300.0
